n,prime,chi5,S_n,is_tie,gap_to_next_tie
140,1811,1,-1,False,
141,1823,-1,-2,False,
142,1847,-1,-3,False,
143,1871,1,-2,False,
144,1877,-1,-3,False,
145,1889,1,-2,False,
146,1901,1,-1,False,
147,1907,-1,-2,False,
148,1913,-1,-3,False,
149,1931,1,-2,False,
150,1949,1,-1,False,
151,1973,-1,-2,False,
152,1979,1,-1,False,
153,1997,-1,-2,False,
154,2003,-1,-3,False,
155,2027,-1,-4,False,
156,2039,1,-3,False,
157,2063,-1,-4,False,
158,2069,1,-3,False,
159,2081,1,-2,False,
160,2087,-1,-3,False,
161,2099,1,-2,False,
162,2111,1,-1,False,
163,2129,1,0,True,2
164,2141,1,1,False,
165,2153,-1,0,True,62
166,2207,-1,-1,False,
167,2213,-1,-2,False,
168,2237,-1,-3,False,
169,2243,-1,-4,False,
170,2267,-1,-5,False,
171,2273,-1,-6,False,
172,2297,-1,-7,False,
173,2309,1,-6,False,
174,2333,-1,-7,False,
175,2339,1,-6,False,
176,2351,1,-5,False,
177,2357,-1,-6,False,
178,2381,1,-5,False,
179,2393,-1,-6,False,
180,2399,1,-5,False,
181,2411,1,-4,False,
182,2417,-1,-5,False,
183,2423,-1,-6,False,
184,2441,1,-5,False,
185,2447,-1,-6,False,
186,2459,1,-5,False,
187,2477,-1,-6,False,
188,2531,1,-5,False,
189,2543,-1,-6,False,
190,2549,1,-5,False,
191,2579,1,-4,False,
192,2591,1,-3,False,
193,2609,1,-2,False,
194,2621,1,-1,False,
195,2633,-1,-2,False,
196,2657,-1,-3,False,
197,2663,-1,-4,False,
198,2687,-1,-5,False,
199,2693,-1,-6,False,
200,2699,1,-5,False,
201,2711,1,-4,False,
202,2729,1,-3,False,
203,2741,1,-2,False,
204,2753,-1,-3,False,
205,2777,-1,-4,False,
206,2789,1,-3,False,
207,2801,1,-2,False,
208,2819,1,-1,False,
209,2837,-1,-2,False,
210,2843,-1,-3,False,
211,2861,1,-2,False,
212,2879,1,-1,False,
213,2897,-1,-2,False,
214,2903,-1,-3,False,
215,2909,1,-2,False,
216,2927,-1,-3,False,
217,2939,1,-2,False,
218,2957,-1,-3,False,
219,2963,-1,-4,False,
220,2969,1,-3,False,
221,2999,1,-2,False,
222,3011,1,-1,False,
223,3023,-1,-2,False,
224,3041,1,-1,False,
225,3083,-1,-2,False,
226,3089,1,-1,False,
227,3119,1,0,True,6
228,3137,-1,-1,False,
229,3167,-1,-2,False,
230,3191,1,-1,False,
231,3203,-1,-2,False,
232,3209,1,-1,False,
233,3221,1,0,True,2
234,3251,1,1,False,
235,3257,-1,0,True,2
236,3299,1,1,False,
237,3323,-1,0,True,2
238,3329,1,1,False,
239,3347,-1,0,True,16
240,3359,1,1,False,
241,3371,1,2,False,
242,3389,1,3,False,
243,3407,-1,2,False,
244,3413,-1,1,False,
245,3449,1,2,False,
246,3461,1,3,False,
247,3467,-1,2,False,
248,3491,1,3,False,
249,3527,-1,2,False,
250,3533,-1,1,False,
251,3539,1,2,False,
252,3557,-1,1,False,
253,3581,1,2,False,
254,3593,-1,1,False,
255,3617,-1,0,True,2
256,3623,-1,-1,False,
257,3659,1,0,True,2
258,3671,1,1,False,
259,3677,-1,0,True,56
260,3701,1,1,False,
261,3719,1,2,False,
262,3761,1,3,False,
263,3767,-1,2,False,
264,3779,1,3,False,
265,3797,-1,2,False,
266,3803,-1,1,False,
267,3821,1,2,False,
268,3833,-1,1,False,
269,3851,1,2,False,
270,3863,-1,1,False,
271,3881,1,2,False,
272,3911,1,3,False,
273,3917,-1,2,False,
274,3923,-1,1,False,
275,3929,1,2,False,
276,3947,-1,1,False,
277,3989,1,2,False,
278,4001,1,3,False,
279,4007,-1,2,False,
280,4013,-1,1,False,
281,4019,1,2,False,
282,4049,1,3,False,
283,4073,-1,2,False,
284,4079,1,3,False,
285,4091,1,4,False,
286,4127,-1,3,False,
287,4133,-1,2,False,
288,4139,1,3,False,
289,4157,-1,2,False,
290,4211,1,3,False,
291,4217,-1,2,False,
292,4229,1,3,False,
293,4241,1,4,False,
294,4253,-1,3,False,
295,4259,1,4,False,
296,4271,1,5,False,
297,4283,-1,4,False,
298,4289,1,5,False,
299,4337,-1,4,False,
300,4349,1,5,False,
301,4373,-1,4,False,
302,4391,1,5,False,
303,4397,-1,4,False,
304,4409,1,5,False,
305,4421,1,6,False,
306,4451,1,7,False,
307,4457,-1,6,False,
308,4463,-1,5,False,
309,4481,1,6,False,
310,4493,-1,5,False,
311,4517,-1,4,False,
312,4523,-1,3,False,
313,4547,-1,2,False,
314,4583,-1,1,False,
315,4637,-1,0,True,2
316,4643,-1,-1,False,
317,4649,1,0,True,2
318,4673,-1,-1,False,
319,4679,1,0,True,2
320,4691,1,1,False,
321,4703,-1,0,True,2
322,4721,1,1,False,
323,4733,-1,0,True,2
324,4751,1,1,False,
325,4787,-1,0,True,2
326,4793,-1,-1,False,
327,4799,1,0,True,2
328,4817,-1,-1,False,
329,4871,1,0,True,2
330,4877,-1,-1,False,
331,4889,1,0,True,4
332,4919,1,1,False,
333,4931,1,2,False,
334,4937,-1,1,False,
335,4943,-1,0,True,6
336,4967,-1,-1,False,
337,4973,-1,-2,False,
338,5003,-1,-3,False,
339,5009,1,-2,False,
340,5021,1,-1,False,
341,5039,1,0,True,6
342,5051,1,1,False,
343,5081,1,2,False,
344,5087,-1,1,False,
345,5099,1,2,False,
346,5147,-1,1,False,
347,5153,-1,0,True,62
348,5171,1,1,False,
349,5189,1,2,False,
350,5231,1,3,False,
351,5237,-1,2,False,
352,5261,1,3,False,
353,5273,-1,2,False,
354,5279,1,3,False,
355,5297,-1,2,False,
356,5303,-1,1,False,
357,5309,1,2,False,
358,5333,-1,1,False,
359,5351,1,2,False,
360,5381,1,3,False,
361,5387,-1,2,False,
362,5393,-1,1,False,
363,5399,1,2,False,
364,5417,-1,1,False,
365,5441,1,2,False,
366,5471,1,3,False,
367,5477,-1,2,False,
368,5483,-1,1,False,
369,5501,1,2,False,
370,5507,-1,1,False,
371,5519,1,2,False,
372,5531,1,3,False,
373,5573,-1,2,False,
374,5591,1,3,False,
375,5639,1,4,False,
376,5651,1,5,False,
377,5657,-1,4,False,
378,5669,1,5,False,
379,5693,-1,4,False,
380,5711,1,5,False,
381,5717,-1,4,False,
382,5741,1,5,False,
383,5783,-1,4,False,
384,5801,1,5,False,
385,5807,-1,4,False,
386,5813,-1,3,False,
387,5843,-1,2,False,
388,5849,1,3,False,
389,5861,1,4,False,
390,5867,-1,3,False,
391,5879,1,4,False,
392,5897,-1,3,False,
393,5903,-1,2,False,
394,5927,-1,1,False,
395,5939,1,2,False,
396,5981,1,3,False,
397,5987,-1,2,False,
398,6011,1,3,False,
399,6029,1,4,False,
400,6047,-1,3,False,
401,6053,-1,2,False,
402,6089,1,3,False,
403,6101,1,4,False,
404,6113,-1,3,False,
405,6131,1,4,False,
406,6143,-1,3,False,
407,6173,-1,2,False,
408,6197,-1,1,False,
409,6203,-1,0,True,2
410,6221,1,1,False,
411,6257,-1,0,True,2
412,6263,-1,-1,False,
413,6269,1,0,True,2
414,6287,-1,-1,False,
415,6299,1,0,True,2
416,6311,1,1,False,
417,6317,-1,0,True,2
418,6323,-1,-1,False,
419,6329,1,0,True,2
420,6353,-1,-1,False,
421,6359,1,0,True,78
422,6389,1,1,False,
423,6449,1,2,False,
424,6473,-1,1,False,
